premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
little girl posing for a picture.,The boy is posing for a picture.,2,Either this is a little girl or a little boy.,A boy is not a little girl.,One is a girl while the other is a boy.,,,,,,,little *girl* posing for a picture.,The *boy* is posing for a picture.,*little* *girl* posing for a picture.,The *boy* is posing for a picture.,little *girl* posing for a picture.,The *boy* is posing for a picture.,"girl,little",boy
A man plays a piano painted with an image of a woman on it.,A man plays a piano.,0,"The ""piano painted with an image of a woman on it"" is simply a piano.","""A man plays a piano"" is the same as ""a man plays a piano.""",a man plays piano painted with an image of a woman on it,,,,,,, A man plays a *piano* *painted* *with* *an* *image* *of* *a* *woman* *on* *it.*, A man plays a *piano.*, A *man* plays a *piano* painted with an image of a woman on it., A *man* plays a *piano.*, A man *plays* a piano painted with an *image* of a woman on it., A man *plays* a *piano.*,"image,woman,an,on,plays,painted,it,piano,a,with,man,of","piano,man,plays"
A large audience of people seated at banquet tables is watching the happenings on a stage surrounded by blue curtains.,The large audience is standing and cheering.,2,The audience can be either watching or standing and cheering.,A audience is either seated or standing.,The audience as a whole cannot be sitting and standing at the same time.,,,,,,,A large audience of people seated at banquet tables is *watching* the happenings on a stage surrounded by blue curtains.,The large audience is *standing* and *cheering.*,A large audience of people *seated* at banquet tables is watching the happenings on a stage surrounded by blue curtains.,The large audience is *standing* and cheering.,A large audience of people *seated* at banquet tables is watching the happenings on a stage surrounded by blue curtains.,The large audience is *standing* and cheering.,"seated,watching","cheering,standing"
A man partly draped in a green and orange flag rests his arms on two others while standing in a crowd.,A man is running away from police.,2,The man is running away from police or standing in a crowd.,One talks about draped in green and orange flag and the other does not talk about what the man is wearing.  A man can not stand and run at the same time,"The man can either be standing in a crowd or running from the police, not both.",,,,,,,A man partly draped in a green and orange flag rests his arms on two others while *standing* *in* *a* *crowd.*,A man is *running* *away* *from* *police.*,A man partly *draped* in a *green* and *orange* *flag* rests his arms on two others *while* *standing* in a *crowd.*,A man is *running* away from *police.*,A man partly draped in a green and orange flag rests his arms on two others while *standing* *in* *a* *crowd.*,A man is *running* *away* *from* *police.*,"crowd,in,standing,green,draped,orange,flag,a,while","away,from,running,police"
A couple has been photographed through a gap in the fence while they are sitting near the water.,The couple is standing next to a cake.,2,The couple can't be sitting and standing at the same time.,Sitting is the opposite of standing.,The couple cannot be standing and sitting.,,,,,,,A couple has been photographed through a gap in the fence while they are *sitting* near the water.,The couple is *standing* next to a cake.,A couple has been photographed through a gap in the fence while they are *sitting* near the water.,The couple is *standing* next to a cake.,A couple has been photographed through a gap in the fence while they are *sitting* near the water.,The couple is *standing* next to a cake.,sitting,standing
A man in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the woman is white,2,There can be either a man or a woman.,A woman is not a man.,A man cannot also be a woman.,,,,,,,A *man* in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the *woman* is white,A *man* in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the *woman* is white,A *man* in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the *woman* is white,man,woman
"Two guys on a couch, one is looking up the other is looking away with a cup in his hand.",They are not looking in the same direction.,0,looking up and  looking away is  not looking in the same direction.,"Two guys are they, and one is looking up the other is looking away shows not looking in the same direction.",One man looking away implies that they are not looking in the same direction,,,,,,," Two guys on a couch, one is *looking* *up* the other is *looking* *away* with a cup in his hand.", They are *not* *looking* *in* *the* *same* *direction.*," Two *guys* on a couch, *one* *is* *looking* *up* *the* *other* *is* *looking* *away* with a cup in his hand.", *They* are *not* *looking* *in* the *same* *direction.*," Two guys on a couch, one is looking up the other is *looking* *away* with a cup in his hand.", They are *not* *looking* in the *same* *direction.*,"looking,guys,away,is,up,other,one,the","looking,not,They,same,in,direction,the"
A man standing in a cubicle with a chair that has a black Ginobili jersey on it.,A man is wearing a white sport jersey in his cubicle.,2,The sports jersey changed from black to white.,A white jersey is not a black jersey.,"If he is wearing a black jersey, the jersey cannot be white.",,,,,,,A man standing in a cubicle with a chair that has a *black* Ginobili jersey on it.,A man is wearing a *white* sport jersey in his cubicle.,A man standing in a cubicle with a chair that has a *black* Ginobili *jersey* on it.,A man is wearing a *white* sport *jersey* in his cubicle.,A man standing in a cubicle with a chair that has a *black* Ginobili jersey on it.,A man is wearing a *white* sport jersey in his cubicle.,"jersey,black","jersey,white"
A man in tan pants is eating while sitting next to a plate and a pair of shoes.,The man is wearing a kilt and his standing on the ground.,2,Tan pants are not part of a kilt.,A man can't wear pants and a kilt at the same time.  He can't be standing and sitting at the same time.,Tan pants and a kilt are not the same thing. The man is either sitting or standing.,,,,,,,A man in *tan* *pants* is eating while sitting next to a plate and a pair of shoes.,The man is *wearing* a *kilt* and his standing on the ground.,A man in tan *pants* is eating while *sitting* next to a plate and a pair of shoes.,The man is wearing a *kilt* and his *standing* on the ground.,A man in *tan* *pants* is eating while *sitting* next to a plate and a pair of shoes.,The man is wearing a *kilt* and his *standing* on the ground.,"sitting,tan,pants","kilt,standing,wearing"
Two people sitting on the sand.,The people are standing.,2,The people are either standing or sitting on the sand.,They're either standing or sitting.,sitting doesn't mean standing,,,,,,,Two people *sitting* on the sand.,The people are *standing.*,Two people *sitting* on the sand.,The people are *standing.*,Two people *sitting* on the sand.,The people are *standing.*,sitting,standing
A woman in a black and white shirt is sitting in a chair with an animated expression on her face.,The woman is standing with her hand over her mouth.,2,One cannot stand if they are sitting.,One can either be sitting or standing.,The woman can't be standing and sitting at the same time.,,,,,,,A woman in a black and white shirt is *sitting* in a chair with an animated expression on her face.,The woman is *standing* with her hand over her mouth.,A woman in a black and white shirt is *sitting* in a chair with an animated expression on her face.,The woman is *standing* with her hand over her mouth.,A woman in a black and white shirt is *sitting* in a chair with an animated expression on her face.,The woman is *standing* with her hand over her mouth.,sitting,standing
"Two men stand in a lift as four others, all dressed in black and bright yellow stripes, look up on them.",Six men are seated at the back of a city bus.,2,The men can't be on a bus while in a lift.,Six people are seated in the bus or stand in a lift.,"Some men are standing in a lift while others look up at them, they are not seated at the back of a bus.",,,,,,," Two men stand in a *lift* as four others, all dressed in black and bright yellow stripes, look up on them.",Six men are seated at the back of a city *bus.*," *Two* *men* *stand* *in* a *lift* as *four* *others,* all dressed in black and bright yellow stripes, look up on them.",*Six* *men* are *seated* at the back of a city bus.," Two men *stand* *in* *a* *lift* as four others, all dressed in black and bright yellow stripes, *look* *up* on them.",Six men are *seated* *at* *the* *back* *of* *a* city *bus.*,"stand,others,in,four,look,up,lift,men,a,Two","bus,Six,a,back,at,men,seated,the,of"
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,2,"the man is either inside his RV, or he is standing outside.",The man can't be outside and inside the RV.,A man can be either inside his RV or outside of an RV.,,,,,,,A man with his finger in his mouth *is* *standing* *outside* of an RV.,The man is *inside* *his* *RV.*,A man with his finger in his mouth is standing *outside* of an RV.,The man is *inside* his RV.,A man with his finger in his mouth is standing *outside* *of* *an* *RV.*,The man is *inside* *his* *RV.*,"RV,is,standing,an,outside,of","his,inside,RV"
